code,description,category
1-000,GENERAL REQUIREMENTS,General Requirements
1-001,Architectural Consultant Fees,General Requirements
1-002,Structural Consultant Fees,General Requirements
1-003,Mechanical Consultant Fees,General Requirements
1-004,Electrical Consultant Fees,General Requirements
1-005,Landscape Consultant Fees,General Requirements
1-006,Geotechnical Consultant Fees,General Requirements
1-007,Traffic Consultant Fees,General Requirements
1-008,Code Consultant Fees,General Requirements
1-009,Interior Design Consultant Fee,General Requirements
1-010,Civil Consultant Fees,General Requirements
1-011,Environmental Consultant Fees,General Requirements
1-012,Envelope Consultant Fees,General Requirements
1-013,Misc Consultant Fees,General Requirements
1-014,Consultants Disbursements,General Requirements
1-015,Quality Mgnt Plant Consul Fees,General Requirements
1-016,Joint Venture Partner Fee,General Requirements
1-020,"Sanitary,Storm & Water Con Fee",General Requirements
1-021,Gas Utility Connection Fees,General Requirements
1-022,Hydro Connection Fees,General Requirements
1-023,Telephone Connection Fees,General Requirements
1-024,Cablevision Connection Fees,General Requirements
1-041,Mobe/Demobe Site Setup,General Requirements
1-042,Equipment Mobe/Demobe,General Requirements
1-060,Construction Manager,General Requirements
1-061,Project Manager,General Requirements
1-062,Superintendent,General Requirements
1-063,Field Cler/Contract Administra,General Requirements
1-064,Field Engineer,General Requirements
1-065,Certified Safety Officer,General Requirements
1-066,Assistant Superintendent,General Requirements
1-067,Site Labourer/Level 3 FA,General Requirements
1-070,Project Management Reimburs Ex,General Requirements
1-075,Procore Const Mgmt Software,General Requirements
1-080,Survey,General Requirements
1-081,Foundation Survey Cert/Legal S,General Requirements
1-100,Development Cost Charges,General Requirements
1-101,Building Permit,General Requirements
1-102,Parking & Street Use Permit,General Requirements
1-103,Hoarding Permit,General Requirements
1-104,Shoring Permit,General Requirements
1-105,Demolition Permit,General Requirements
1-106,Inspection Fee,General Requirements
1-107,Licences,General Requirements
1-120,Travel Costs,General Requirements
1-121,Living Out of Town Costs,General Requirements
1-122,Unproductive Time,General Requirements
1-140,Soild & Compaction Testing,General Requirements
1-141,Concrete Testing,General Requirements
1-142,Inspections,General Requirements
1-143,Environmental & Erosion Mgnt,General Requirements
1-144,Hydrostatic Testing of Tanks,General Requirements
1-160,Safety Training,General Requirements
1-161,Pre Access Testing,General Requirements
1-162,Client Indoctrinations,General Requirements
1-163,PPE,General Requirements
1-164,First Aid Supplies,General Requirements
1-165,Safety Railing & Guardrails,General Requirements
1-166,Site Security,General Requirements
1-167,Safety Awards,General Requirements
1-168,Safety Watch,General Requirements
1-169,Incident Management,General Requirements
1-170,WSBC Claims Management,General Requirements
1-180,General Liability Insurance,General Requirements
1-181,COC Insurance,General Requirements
1-182,All Risk Insurance,General Requirements
1-183,Bonding,General Requirements
1-184,Legal Costs,General Requirements
1-200,Temp Sewer Connection,General Requirements
1-201,Temp Power Connection Costs,General Requirements
1-202,Temp Power & Equip,General Requirements
1-203,Temp Power Consumption Costs,General Requirements
1-204,Temp Gas Consumption Costs,General Requirements
1-205,Temp Lighting,General Requirements
1-206,Temp Heating & Hoarding,General Requirements
1-207,Temp Telephone,General Requirements
1-208,Temp Water Connection,General Requirements
1-209,Temp Sanitary Facilities,General Requirements
1-210,Temp Fire Protection,General Requirements
1-211,Field Offices & Tool Cribs,General Requirements
